source,title,total_price_yuan,unit_price_yuan_per_m2,area_m2,rooms,location,city,district,block,page,price_per_m2,dataset,rent_month_yuan,rent_per_m2
esf,(随时约看)(复式客厅6.5 挑空)万城华府尚园,60000000.0,220078.0,272.63,5室3厅,万柳,北京,海淀,万柳,1,220078.0,sales,,
esf,3室2厅光大水墨风景,23880000.0,156723.0,152.37,3室2厅,万柳,北京,海淀,万柳,1,156723.0,sales,,
esf,(随时约看)万柳书院 科技住宅大平层 可议空间大,48990000.0,229246.0,213.7,3室2厅,万柳,北京,海淀,万柳,1,229246.0,sales,,
esf,万柳书院 一层带300平米花园 同看万城华府 龙湖颐和原著,85000000.0,205497.0,413.63,5室3厅,万柳,北京,海淀,万柳,1,205497.0,sales,,
esf,"蜂鸟社区两居室,带车位,精装修,业主诚意出售,看房随时有钥匙",6000000.0,116211.0,51.63,2室1厅,万柳,北京,海淀,万柳,1,116211.0,sales,,
esf,康桥水郡 127.33平2居 南北向简装修 拎包入住,16500000.0,129584.0,127.33,2室1厅,万柳,北京,海淀,万柳,1,129584.0,sales,,
esf,万泉新新家园 316平5居 西南北向豪华装修 着急出售,54000000.0,170886.0,316.0,5室3厅,万柳,北京,海淀,万柳,1,170886.0,sales,,
esf,5室2厅万泉新新家园,55000000.0,175718.0,313.0,5室2厅,万柳,北京,海淀,万柳,1,175718.0,sales,,
esf,"光大水墨风景,南北通透,一层出行便利,位置安静,总成本低",21500000.0,146109.0,147.15,3室2厅,万柳,北京,海淀,万柳,1,146109.0,sales,,
esf,山水倾城 4室3厅3卫 格局方正 品质小区,22800000.0,103962.0,219.31,4室3厅,万柳,北京,海淀,万柳,1,103962.0,sales,,
esf,万泉新新家园 136.83平3居 南北向精装修 方便看房,18500000.0,135204.0,136.83,3室2厅,万柳,北京,海淀,万柳,1,135204.0,sales,,
esf,4室2厅万城华府海园,75000000.0,259578.0,288.93,4室2厅,万柳,北京,海淀,万柳,1,259578.0,sales,,
esf,万柳水墨风景南北三居 满五精装低楼层,23880000.0,156723.0,152.37,3室2厅,万柳,北京,海淀,万柳,1,156723.0,sales,,
esf,万柳书院 海淀顶豪 有车位 高层边户 (预约可看),58000000.0,215926.0,268.61,3室2厅,万柳,北京,海淀,万柳,1,215926.0,sales,,
esf,万柳中路南北通透三居 精装171平中层好房,25800000.0,150279.0,171.68,3室2厅,万柳,北京,海淀,万柳,1,150279.0,sales,,
esf,5室2厅万城华府海园,85000000.0,264131.0,321.81,5室2厅,万柳,北京,海淀,万柳,1,264131.0,sales,,
esf,海淀顶豪 万柳书院 高层边户大平层 带车位,65000000.0,238970.0,272.0,3室3厅,海淀,北京,海淀,万柳,1,238970.0,sales,,
esf,万柳书院275㎡边户4居!3层一梯一户+私享门厅,62000000.0,225192.0,275.0,3室2厅,万柳,北京,海淀,万柳,1,225192.0,sales,,
esf,3室2厅光大水墨风景,21500000.0,146109.0,147.15,3室2厅,万柳,北京,海淀,万柳,1,146109.0,sales,,
esf,"万柳书院 218.38 平 3 室,观万寿山佛香阁,一梯一户",54000000.0,247275.0,218.38,3室1厅,万柳,北京,海淀,万柳,1,247275.0,sales,,
esf,"万城华府海园5层大平层,挑高7.2米,层高3.6米,装修好",98000000.0,261054.0,375.4,5室2厅,万柳,北京,海淀,万柳,1,261054.0,sales,,
esf,惊现!万城华府龙园好山阁7层尊席 394㎡一层一户 五阳台,100000000.0,253710.0,394.0,5室3厅,万柳,北京,海淀,万柳,1,253710.0,sales,,
esf,万柳洋房+高区两居+ 一梯两户+三面采光+双车位储,28500000.0,130249.0,218.81,4室2厅,万柳,北京,海淀,万柳,1,130249.0,sales,,
esf,南北通透涧桥泊屋3室2厅精装修,21800000.0,139698.0,156.05,3室2厅,万柳,北京,海淀,万柳,1,139698.0,sales,,
esf,"这套必看 万柳光大花园新出阳面三居室,有钥匙 价格不设限",13980000.0,92699.0,150.81,3室2厅,万柳,北京,海淀,万柳,1,92699.0,sales,,
esf,万城华府龙园官邸 307.53㎡大平层 车位 正对公园,76000000.0,247130.0,307.53,4室2厅,万柳,北京,海淀,万柳,1,247130.0,sales,,
esf,万泉小三居 有 户型方正 看房效果,18500000.0,135204.0,136.83,3室2厅,万柳,北京,海淀,万柳,1,135204.0,sales,,
esf,南北通透万柳书院3室1厅精装修,54000000.0,247275.0,218.38,3室1厅,万柳,北京,海淀,万柳,1,247275.0,sales,,
esf,"万城华府海园 345 平 5 室,三面采光9.4米面宽双",81000000.0,234782.0,345.0,4室2厅,万柳,北京,海淀,万柳,1,234782.0,sales,,
esf,万泉可用!小南庄1号楼2层边户南向两居 空置 低总价随时签约,4190000.0,76181.0,55.0,2室1厅,万柳,北京,海淀,万柳,2,76181.0,sales,,
esf,万柳书院275㎡边户4居!3层一梯一户+私享门厅,62000000.0,225192.0,275.0,3室2厅,万柳,北京,海淀,万柳,2,225192.0,sales,,
esf,"这套必看 万柳光大花园新出阳面三居室,有钥匙 价格不设限",13980000.0,92699.0,150.81,3室2厅,万柳,北京,海淀,万柳,2,92699.0,sales,,
esf,惊现!万城华府龙园好山阁7层尊席 394㎡一层一户 五阳台,100000000.0,253710.0,394.0,5室3厅,万柳,北京,海淀,万柳,2,253710.0,sales,,
esf,"万城华府海园5层大平层,挑高7.2米,层高3.6米,装修好",98000000.0,261054.0,375.4,5室2厅,万柳,北京,海淀,万柳,2,261054.0,sales,,
esf,南北通透万柳书院3室1厅精装修,54000000.0,247275.0,218.38,3室1厅,万柳,北京,海淀,万柳,2,247275.0,sales,,
esf,3室2厅碧水云天2期,22600000.0,155411.0,145.42,3室2厅,万柳,北京,海淀,万柳,2,155411.0,sales,,
esf,3室2厅阳春光华枫树园,14300000.0,113222.0,126.3,3室2厅,万柳,北京,海淀,万柳,2,113222.0,sales,,
esf,位置好 万城华府(一层一户 四面采光)业主委托 独嘉房源,86500000.0,218987.0,395.0,5室3厅,万柳,北京,海淀,万柳,2,218987.0,sales,,
esf,万柳洋房+板楼+复式带双 旁 中心花园无遮挡,53000000.0,160188.0,330.86,5室3厅,万柳,北京,海淀,万柳,2,160188.0,sales,,
esf,怡水园3室2厅精装修,22800000.0,103962.0,219.31,3室2厅,万柳,北京,海淀,万柳,2,103962.0,sales,,
esf,20套起看 两梯一户四面采光 5室3厅 万城华府龙园2车1储,86000000.0,220512.0,390.0,5室3厅,万柳,北京,海淀,万柳,2,220512.0,sales,,
esf,万城华府龙园 1室2厅1卫 全南户型 主卧朝南,20000000.0,250000.0,80.0,1室2厅,万柳,北京,海淀,万柳,2,250000.0,sales,,
esf,"万城华府尚园 楼间距大,顶层层高5.1米可以做豪华装修",70000000.0,234789.0,298.14,4室3厅,万柳,北京,海淀,万柳,2,234789.0,sales,,
